[2024-05-21 20:29:55] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:32:55] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:32:55] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:34:34] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:34:34] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:34:57] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:34:57] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:35:46] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:35:46] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:35:46] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:36:21] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:36:21] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:36:21] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:36:49] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:36:49] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:36:49] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:36:49] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:37:17] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:37:18] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:37:18] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:37:18] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:39:11] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=1, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:41:53] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=1, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:41:58] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=1, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:42:17] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=1, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
